 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2077 
 NOMBRE    : LA MISION 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2009	15.8	13.3	13.8	15.3	18.1	18.8	21.4	21.8	21.8	17.5	14.5	12.7	204.8	17.1	12
2010	13.6	13.5	13.8	14.7	15.7	17.9	19.8	19.5	18.1	17.5	13.9	13.2	191.2	15.9	12
2011	13.5	11.8	13.5	15.5	15.6	18.3	21	20	19.9	16.6	13.7	11	190.4	15.9	12
2012	12.9	12.8	13.2	14.7	17	18.3	19.8	23.1	22.2	19.2	15.2	13	201.4	16.8	12
2013	12.3	12.1	14.5	15.5	16.9	19.1	20.3	20.1	20.4	16.9	15.5	13.2	196.8	16.4	12
2014	14.2	14.3	15.8	16.5	19.8	19.3	21.9	22.1	23.2	20.4	17.7	14.8	220	18.3	12
2015	14.9	15.8	16.8	16.4	16.9	19.6	21.7	22.4	23.9	22	15.7	12.6	218.7	18.2	12
2016	12.9	16	14.3	16	17	20.2	21.5	21.5	20.5	19.3	16.4	13.5	209.1	17.4	12
2017	13.1	12.4	14.6	15.4	17	18.6	21.8	21.1	20	18.5	15.3	13.3	201.1	16.8	12
2018	14.8	11.9	13.6	15.4	16	18.4	21.8	23.1	19.8	17.6	14.9	12.5	199.8	16.6	12
2019	12.5	10.6	13.1	15.9	16	18.6	19.9	19.7	20.3	15.2	12.6	11.3	185.7	15.5	12
2020	11.3	11.3	12.8	15.7	18.2	19.3	19.1	21.4	19.6	16.4	14	12.1	191.2	15.9	12
MÍNIMA	11.3	10.6	12.3	14.6	15.6	17.9	19.1	19.5	18.1	15.2	12.6	11	185.7	15.5	
MÁXIMA	15.8	16	16.8	16.8	19.8	21.7	24.5	23.2	23.9	22	17.9	14.8	220	18.3	
MEDIA	13.4	13.2	14.3	15.6	17.4	19.1	21.2	21.6	20.9	18.3	15.3	12.8	203.1	16.9	
DESV.ST	1.2	1.4	1.1	0.7	1.1	0.8	1.1	1.2	1.4	1.6	1.4	0.8	8.8	0.7	
