Date,22058,22067,22063,22070,22004,22046,22067-2
2008-09-01,31.1,7.9,50.3,23.8,57.4,27.4,35
2008-10-01,0.4,0.1,1.2,0.5,0,0.4,0.5
2008-11-01,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0
2009-01-01,5.4,1.4,6.7,7,8.6,4.8,6.1
2009-02-01,0,0,0,0,0,0,0
2009-03-01,4.4,1.1,3.8,11,2.8,4,5
2009-04-01,1.3,0.3,3.8,1.7,0,1.2,1.5
2009-05-01,7.9,2,8,9.3,16,7,9
2009-06-01,22.1,5.6,8.1,47,34.5,19.7,24.9
2009-07-01,13.7,3.5,18.5,11,28.7,12.1,15.5
2009-08-01,17.6,4.5,7.7,46.3,16,15.9,20
2009-09-01,81.4,20.6,85.9,128.9,120.4,72.4,92
2009-10-01,15.7,4,10,24.5,30.8,13.9,17.8
2009-11-01,0.2,0.1,0.9,0,0,0.2,0.2
2009-12-01,6.5,1.6,13,7.8,6,5.8,7.3
2010-01-01,9.3,2.4,22.7,0,17.6,8.2,10.5
2010-02-01,37.9,9.6,47.4,47.9,62.7,33.6,42.8
2010-03-01,0.1,0,0.4,0.2,0,0.1,0.2
2010-04-01,6.2,1.6,5.3,10,10.5,5.5,7.1
2010-05-01,3.1,0.8,1.2,2.2,9.8,2.7,3.4
2010-06-01,42.1,10.8,12.3,104.4,11.5,63.3,48.2
2010-07-01,25.1,6.4,62,15.3,28.6,22.3,28.4
2010-08-01,22.1,5.6,23.7,20.5,49.4,19.4,24.9
2010-09-01,23.5,5.9,17.6,36.8,42.7,20.8,26.5
2010-10-01,0.3,0.1,0,1.2,0,0.3,0.4
2010-11-01,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0
2011-01-01,0.2,0,0.7,0,0,0.1,0.2
2011-02-01,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0
2011-04-01,0,0,0.2,0,0,0,0.1
2011-05-01,2.7,0.7,3.6,1.1,7,2.4,3.1
2011-06-01,38.6,9.8,69.5,51,38.7,34.4,43.6
2011-07-01,13.5,3.4,24.5,11,21.6,12,15.3
2011-08-01,11.7,3,16.8,15.3,16.4,10.4,13.2
2011-09-01,32.9,8.3,36,44,56.7,29.1,37.1
2011-10-01,6.4,1.6,5.9,8,12.7,5.6,7.2
2011-11-01,0,0,0,0,0,0,0
2011-12-01,3.7,0.9,0,4.7,11,3.2,4.2
2012-01-01,6.6,1.7,7.7,8.3,11.4,5.8,7.4
2012-02-01,10.4,2.6,14.8,13.1,15.3,9.2,11.8
2012-03-01,3,0.8,0.8,3.7,8,2.6,3.4
2012-04-01,0.8,0.2,0.5,0,3,0.7,0.9
2012-05-01,6.6,1.7,4.6,9.3,13.6,5.8,7.4
2012-06-01,29,7.3,45,31.7,44.7,25.7,32.8
2012-07-01,37.8,9.6,46.5,60.5,48.4,33.7,42.8
2012-08-01,25,6.3,43.3,16.2,46.8,22,28.2
2012-09-01,28.6,7.2,31,32.8,56,25.2,32.2
2012-10-01,5.8,1.5,3.5,4.5,16.7,5,6.5
2012-11-01,12.3,3.1,14.9,15,21.5,10.9,13.9
2012-12-01,1.9,0.5,2.6,1.7,3.5,1.6,2.1
2013-01-01,1,0.3,3,0,1.3,0.9,1.1
2013-02-01,2,0.5,0,0,9,1.7,2.3
2013-03-01,3.2,0.8,4.5,3.7,5,2.8,3.6
2013-04-01,1.7,0.4,0.5,0.4,6.5,1.4,1.9
2013-05-01,33.1,8.4,41,70,22,29.8,37.5
2013-06-01,31.3,7.9,24.8,51.3,53,27.8,35.4
2013-07-01,39.6,10.1,56.1,74.5,30,35.8,45
2013-08-01,12,3,14,21,14,10.7,13.6
2013-09-01,21.6,5.5,47.5,16,27.5,19.2,24.4
2013-10-01,12.1,3.1,17.9,17.8,14,10.8,13.7
2013-11-01,14.8,3.7,17,12.7,33,13,16.7
2013-12-01,7.1,1.8,14.2,0,16.5,6.2,8
2014-01-01,0.4,0.1,0,1.5,0,0.4,0.4
2014-02-01,0,0,0,0,0,0,0
2014-03-01,0,0,0,0,0,0,0
2014-04-01,10,2.5,14.1,13.5,13.7,8.9,11.3
2014-05-01,11.2,2.8,15.8,13.8,17,9.9,12.7
2014-06-01,33.3,8.4,47.7,60,27.5,29.8,37.7
2014-07-01,22.1,5.6,34.4,36,20,19.8,25
2014-08-01,27.8,7,67.5,19.2,30,24.6,31.4
2014-09-01,22.4,5.7,66.1,16,11.5,20,25.4
2014-10-01,23.2,5.9,53.6,4.7,41.5,20.4,26.2
2014-11-01,1.9,0.5,3.8,1.9,2.1,1.7,2.1
2014-12-01,0.1,0,0.3,0,0,0.1,0.1
2015-01-01,0,4.1,0.1,0,0,0,18.2
2015-02-01,6,0.5,11.1,14.5,8.5,0,2.4
2015-03-01,10,2.3,94.7,80.5,82,0,10.1
2015-04-01,18,13.4,21.5,15.2,20,0,60
2015-05-01,10,5.1,26.6,33,23,17.3,22.7
2015-06-01,8,3.8,58,34,55,3.1,16.8
2015-07-01,5,9,24.3,13,28,0,40
2015-08-01,20,10.4,19.8,29.3,27,22.3,46.5
2015-09-01,10,9.7,41.2,36,24,30.8,43.5
2015-10-01,12,4.3,27.6,23,27.5,15.9,19.1
2015-11-01,10,2.2,26.5,6.5,10,0,9.6
2015-12-01,10,0.9,3.3,2.7,7.5,0,4.2
2016-01-01,8,1,4,6.2,2,0,4.5
2016-02-01,0,6.5,0,0,0,0,29
