 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 22067 
 NOMBRE    : LA VENTA 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
MEDIA	4.9	6.2	7.4	9.3	10.9	11.8	11.1	11.3	10.9	9.1	7.4	5.9	86.9	8.6	
DESV.ST	4.6	4.3	3.8	3.2	2.1	2.5	1.5	1.6	1.8	2.8	3.9	3.7	41	2.5	

TEMPERATURA MEDIA MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1984						18.8	17	17	16.4	17	13	14.4	113.6	16.2	7
1985	12.1	13.4	16.6	17.2	18.6		17.5	17.9	18.1	16.7	13.8	12.8	174.7	15.9	11
1986	10.4	13	13.8	18.8	19.8	19.1	17.5	18.1	18.7	16	14.6	12.9	192.7	16.1	12
1987	13.1		14.8	17	18.4	19.1	18.4	19.3	19.1	14.5	14.2	14	181.9	16.5	11
1988	12	15.1	15.9	18.3	20	20.1	18.8	18.6	18.9	15.3	15.6	13.9	202.5	16.9	12
1989	13.9	13.3	15	17.3	19.5	19.4	18.3	18.4	17.2		15.4		167.7	16.8	10
1990	14.7	13.2	15.8	18.3	19.8	19.3	17.5		17.7	16.3	14.4	12.5	179.5	16.3	11
1991	13.7	14.1	17.2	19.4	20.6	20.3	18	18.2	17.8	15.3			174.6	17.5	10
1992	14.1	15.1	18.5										47.7	15.9	3
1993		14.6	15.8	17.5	18.9	20.3	18.7	18.3			15.1	13.9	153.1	17	9
1994	15.7	17.8	18.3	18.5		15.8	14.8	15.7	15.6	18.9	17.6	16.1	184.8	16.8	11
1995	10.1	10.7			18.4	17.4		17	15.5	14.5			103.6	14.8	7
1996	4.1	6.2	9.4	11.5	15.9	15.6	15.5	18.2	19.4	16.9	15.3	15	163	13.6	12
1997	12.3	16		17.2	16.9	19.5	18.4	17.2	16.7		15.5	12.1	161.8	16.2	10
1998	11												11	11	1
2000	5.4	8.6	10.3	13.5	17.4	16.7		15.5		17.7	17.6	12	134.7	13.5	10
2001	13.7	15.6	17.4	20.6	19.9	19.6	19.4	19.3	19.1	16.5	14.3	14	209.4	17.4	12
2002	13.3	14	17.3	20.7	20.1	20.2	19.5	19.7	19.1	18.9	16.2	15	214	17.8	12
2003	13.2	16.6	18	20.9	22.6	21.2	19.1	20	19.8		17	13.5	201.9	18.4	11
2004	18.8	14.7	17.8	19.1	19.9	19	19.1	19.4	18.4	18.1	15.3	14.2	213.8	17.8	12
2005	13.8	13.7	15.1	22	21.1	22.8	20	19	19.2	18.5	18.5	16.4	220.1	18.3	12
2006	15.4	16.8	18.3	19.3	20	18.5	18.2	18.6	21.3	18.1	13.5	13.3	211.3	17.6	12
2007	14.2	16.2											30.4	15.2	2
2015	15.4	16.8	18.2	19.3	19.5	18.3	17.8	18.8	18.1				162.2	18	9
2016		16.2	15.8	17.7	18.6	19.1	18.4	18	17	14.6	15	15.5	185.9	16.9	11
2017		18.7	19.2	21.4	22.9	20.4	18.9	19.6	18.5	18.4	23.2	14.5	215.7	19.6	11
2018	13.5	17.3	19.1	19.6	20.4	21.4	19.5	21	18.9	17.6	21	22.2	231.5	19.3	12
2019	24.4	23.6	21.1	19.2	22.4	23.6	18.7	19.9	19.1	18.6	18.9	16	245.5	20.5	12
MÍNIMA	4.1	6.2	9.4	11.5	15.9	15.6	14.8	15.5	15.5	14.5	13	12	11	11	
MÁXIMA	24.4	23.6	21.1	22	22.9	23.6	20	21	21.3	18.9	23.2	22.2	245.5	20.5	
MEDIA	13.3	14.9	16.5	18.4	19.6	19.4	18.2	18.4	18.2	16.9	16.1	14.5	167.4	16.7	
DESV.ST	3.9	3.3	2.7	2.4	1.7	1.9	1.2	1.3	1.4	1.5	2.5	2.2	58.8	1.9	
