 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2004 
 NOMBRE    : IGNACIO ZARAGOZA -BELEN- 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1973	0.7	3.8	3.6	3.5	8.5	11.4	12	11.9	8.7	6.5	4.7	1.7	77	6.4	12
1974	2.7	0	4.1	3.5	9.2	12.5	16.5	13	19.2	8.3	5.1	0.5	94.6	7.9	12
1975	3.4	2.1	3.4	4.7	6.6	10.6	14.2	13.4	13.6	7.9	4.4	2.6	86.9	7.2	12
1976	4.4	5.9	5.5	6.5	9.6	11.2	14.6	12.7	16.4	9.3	7.3	1.9	105.3	8.8	12
1977	3.8	1.1	2.4	5.5	7.8	12.3	15	18.3	12.2	10.3	5.2	4.4	98.3	8.2	12
1978	5.5	3.4	5.7	6.3	7	10.7	14.2	13.1	12.3	10.7	4.2	0.8	93.9	7.8	12
1979	2.8	1.2	2.6	3	6.7	8.7	12.3	12.8	13	7.7	3.6	0.8	75.2	6.3	12
1980	4.9	5.7	4.3	5.9	8.2	8.4	15.4	16	14.9	10.9	3.8	0.8	99.2	8.3	12
1981	1.4	3.1	4.4	6.3	8.5	13.1	15.3	15.1	13.5	7.5	4.7	3.1	96	8	12
1982	15.6	4.8	5.2	5.8	8.6	9.5	15.3	15.6	13.7	7.1	4.8	2	108	9	12
1983	10.2	3.7	7.9	5.4	7.7	10.4	11	17.2	16.3	12.8	6.9	6.2	115.7	9.6	12
1984	6.7	5.3	6.7	6.7			18.8	16.6	16.1	9.6	8.5	5.2	100.2	10	10
1985	2.9	2.3	5.1	10	7	13.3	14.3	12.3	9.4	11.3	6.4	5.3	99.6	8.3	12
